company,location,total_laid_off,date,percentage_laid_off,industry,source,stage,funds_raised_million_dollars,country,date_added
2TM,"Sao Paulo,Non-U.S.",100,2022-09-01,0.15,Crypto,https://finance.yahoo.com/news/second-round-layoffs-brazilian-crypto-212310521.html,Unknown,250,Brazil,2022-09-02
2TM,"Sao Paulo,Non-U.S.",90,2022-06-01,0.12,Crypto,"https://www.terra.com.br/noticias/tecnologia/2tm-dono-do-mercado-bitcoin-demite-90-funcionarios,9ce67613ba7b79292f03bc2027ceb77e9uw5hy0w.html",Unknown,250,Brazil,2022-06-02
2U,"Washington D.C.",NULL,2022-07-28,0.2,Education,https://www.insidehighered.com/news/2022/08/01/online-program-enabler-2u-resets-its-pricing-model,Post-IPO,426,"United States",2022-07-30
54gene,"Washington D.C.",95,2022-08-29,0.3,Healthcare,https://techcrunch.com/2022/08/29/african-genomics-startup-54gene-lays-off-95-as-covid-testing-business-struggles/,"Series B",44,"United States",2022-08-30
"5B Solar","Sydney,Non-U.S.",NULL,2022-06-03,0.25,Energy,https://www.news.com.au/finance/business/manufacturing/aussie-startup-5b-solar-sacks-25-per-cent-of-staff/news-story/55133297ccce5f1b7d1edf38f117a631,"Series A",12,Australia,2022-06-03
6sense,"SF Bay Area",150,2022-10-12,0.1,Sales,https://www.moneycontrol.com/news/business/startup/ai-platform-6sense-lays-off-150-employees-globally-including-several-from-india-9327791.html,"Series E",426,"United States",2022-10-14
7shifts,"Saskatoon,Non-U.S.",30,2023-09-15,0.07,Food,https://www.linkedin.com/feed/update/urn:li:activity:7108084382132801536/,"Series C",131,Canada,2023-09-21
7Shifts,"Saskatoon,Non-U.S.",68,2024-01-11,0.19,Food,https://betakit.com/7shifts-cuts-19-percent-of-staff-in-new-layoffs-to-start-2024/,"Series C",131,Canada,2024-01-18
"80 Acres Farms",Cincinnati,NULL,2023-01-18,0.1,Food,https://www.bizjournals.com/cincinnati/inno/stories/news/2023/01/18/80-acres-cuts-jobs-tech-industry-job-loses.html,Unknown,275,"United States",2023-01-19
8x8,"SF Bay Area",155,2023-01-18,0.07,Support,https://www.channelfutures.com/business-models/8x8-to-reduce-7-of-workforce-significantly-impacting-channel-staff,Post-IPO,253,"United States",2023-01-18
8x8,"SF Bay Area",200,2022-10-04,0.09,Support,https://www.channelfutures.com/business-models/8x8-lays-off-workers-cites-operational-efficiency,Post-IPO,253,"United States",2023-01-18
98point6,Seattle,NULL,2022-07-21,0.1,Healthcare,https://www.geekwire.com/2022/health-care-startup-98point6-lays-off-10-of-workforce-but-says-its-still-in-growth-mode/,"Series E",247,"United States",2022-07-22
99,"Sao Paulo,Non-U.S.",75,2022-09-20,0.02,Transportation,"https://www.terra.com.br/economia/dinheiro-em-dia/meu-negocio/na-onda-dos-layoffs-99-demite-mais-de-75-colaboradores,d2c6d7e70027cb925695c2e6a25956d16jo4jtuj.html",Acquired,244,Brazil,2022-09-21
Aakash,"New Delhi,Non-U.S.",80,2024-09-18,NULL,Education,https://entrackr.com/2024/09/exclusive-aakash-lays-off-employees-amid-strategic-shift/,Acquired,NULL,India,2024-09-21
ABBYY,Nicosia,200,2024-10-01,NULL,Data,https://www.bignewsnetwork.com/news/274659725/us-tech-giant-fires-russian-expats,Unknown,6,Cyprus,2024-10-03
Abra,"SF Bay Area",12,2022-06-30,0.05,Crypto,https://www.theblock.co/post/155209/abra-becomes-latest-crypto-firm-to-cut-jobs,"Series C",106,"United States",2022-07-01
Absci,Portland,30,2023-09-05,0.15,Healthcare,https://www.geekwire.com/2023/biotech-company-absci-lays-off-30-employees-about-15-of-staff/,Post-IPO,238,"United States",2023-09-07
Absci,"Vancouver,Non-U.S.",40,2022-08-09,NULL,Healthcare,https://www.absci.com/message-from-ceo-08-09-2022/,Post-IPO,237,Canada,2022-08-10
"Absolute Software","Vancouver,Non-U.S.",40,2023-04-06,0.05,Security,https://www.absolute.com/company/press-releases/2023/absolute-software-announces-workforce-restructuring/,Post-IPO,NULL,Canada,2023-04-06
Acast,"Stockholm,Non-U.S.",70,2022-09-15,0.15,Media,https://www.bloomberg.com/news/newsletters/2022-09-15/swedish-podcast-company-acast-lays-off-15-of-its-staff,Post-IPO,126,Sweden,2022-09-15
Acko,"Mumbai,Non-U.S.",45,2020-04-01,0.09,Finance,https://entrackr.com/2020/04/exclusive-acko-insurance-layoff/,Unknown,143,India,2020-04-08
Acorns,Portland,50,2020-05-26,NULL,Finance,https://techcrunch.com/2020/05/29/amid-unprecedented-growth-on-its-platform-acorns-cuts-roles-and-shuts-down-an-office/,Unknown,207,"United States",2020-05-30
Actifio,Boston,54,2020-12-16,NULL,Data,https://www.bizjournals.com/boston/news/2020/12/16/actifio-layoffs-google.html,Acquired,352,"United States",2020-12-17
ActiveCampaign,Chicago,NULL,2022-10-03,0.15,Marketing,LinkedIn,"Series C",360,"United States",2022-10-07
ActiveFence,"New York City",22,2025-03-13,0.07,Security,https://www.calcalistech.com/ctechnews/article/hjvqbqg3jx,"Series B",100,"United States",2025-03-14
Actyv.ai,"Bengaluru,Non-U.S.",NULL,2023-08-02,0.6,Finance,https://entrackr.com/2023/08/exclusive-saas-startup-actyv-ai-lays-off-more-than-60-employees/,Seed,12,India,2023-08-03
Acxiom,"Little Rock",130,2025-03-19,0.03,Marketing,https://adage.com/article/agency-news/acxiom-lays-35-staff-more-130-employees/2606146,Post-IPO,NULL,"United States",2025-03-21
Ada,"Toronto,Non-U.S.",78,2022-09-20,0.16,Support,https://www.linkedin.com/posts/mikemurchison_company-message-from-mike-ugcPost-6978042513135710209-CcNB/,"Series C",190,Canada,2022-09-21
"Ada Health","Berlin,Non-U.S.",50,2022-10-17,NULL,Healthcare,"Internal memo","Series B",189,Germany,2022-10-26
"Ada Support","Toronto,Non-U.S.",36,2020-04-24,0.23,Support,https://betakit.com/ada-support-lays-off-23-percent-of-staff-amid-uncertainty-caused-by-pandemic/,"Series B",60,Canada,2020-04-24
"Adaptive Biotechnologies",Seattle,100,2022-03-08,0.12,Healthcare,https://www.geekwire.com/2022/adaptive-biotechnologies-lays-off-about-100-people-12-of-headcount-to-streamline-our-workforce/,Post-IPO,406,"United States",2022-05-29
Adda247,"Gurugram,Non-U.S.",300,2023-10-14,NULL,Education,https://entrackr.com/2023/10/exclusive-edtech-startup-adda247-fires-300-employees/,"Series B",61,India,2023-10-15
Addepar,"SF Bay Area",20,2023-01-18,0.03,Finance,https://fortune.com/2023/01/17/addepar-a-wealth-management-startup-launched-by-the-co-founder-of-palantir-is-the-latest-fintech-to-cut-jobs/,"Series F",491,"United States",2023-01-18
Adjust,"Berlin,Non-U.S.",304,2024-11-22,NULL,Marketing,https://www.pocketgamer.biz/applovin-owned-adjust-lays-off-staff/,Acquired,256,Germany,2024-11-24
Adobe,"SF Bay Area",100,2022-12-06,NULL,Marketing,https://www.bloomberg.com/news/articles/2022-12-06/adobe-cuts-100-jobs-concentrated-in-sales-as-tech-tightens-belt,Post-IPO,2,"United States",2022-12-07
AdRoll,"Salt Lake City",210,2020-03-31,0.3,Marketing,https://www.adexchanger.com/online-advertising/nextroll-lays-off-30-institutes-20-paycuts/,"Series C",89,"United States",2020-04-01
Advata,Seattle,32,2022-10-28,0.21,Healthcare,https://www.geekwire.com/2022/seattle-area-health-data-analytics-company-advata-lays-off-employees/,,NULL,"United States",2022-10-31
"Advisor Credit Exchange",Philadelphia,NULL,2025-01-14,1,Finance,https://citywire.com/ria/news/envestnet-backed-advisor-credit-exchange-to-shut-down-sources/a2457772,Unknown,31,"United States",2025-01-15
Adwerx,Durham,40,2022-07-07,NULL,Marketing,https://www.inman.com/2022/07/08/adwerx-lays-off-40-employees-as-company-slows-new-initiatives/,Unknown,20,"United States",2022-07-08
AEye,"SF Bay Area",46,2023-03-28,0.33,Transportation,https://investors.aeye.ai/node/8921/html,Post-IPO,314,"United States",2023-03-29
Affirm,Pittsburgh,60,2024-02-21,NULL,Finance,https://bnnbreaking.com/finance-nav/affirms-pittsburgh-layoffs-a-tale-of-corporate-strategy-and-employee-impact,Post-IPO,1500,"United States",2024-02-22
Affirm,"SF Bay Area",NULL,2022-11-03,0.01,Finance,https://www.theinformation.com/briefings/e-commerce-layoff-tally-mounts-with-faire-affirm-cuts,Post-IPO,1500,"United States",2022-11-04
Affirm,"SF Bay Area",500,2023-02-08,0.19,Finance,https://www.wsj.com/articles/affirm-cuts-500-employees-19-of-its-workforce-11675897002,Post-IPO,1500,"United States",2023-02-08
Afterverse,"Brasilia,Non-U.S.",60,2022-06-03,0.2,Consumer,https://neofeed.com.br/blog/home/o-jogo-virou-afterverse-empresa-de-games-da-movile-corta-ate-60-funcionarios/,Unknown,NULL,Brazil,2023-01-21
AgentSync,Denver,67,2023-07-19,0.24,Finance,"Internal memo","Series B",111,"United States",2023-07-26
Agoda,"Singapore,Non-U.S.",1500,2020-05-18,0.25,Travel,https://layoffs.fyi/2020/05/24/agoda-laid-off-1500-employees-launches-public-alumni-directory/,Acquired,NULL,Singapore,2020-05-19
Ahead,"SF Bay Area",44,2022-04-14,1,Healthcare,https://www.bloomberg.com/news/articles/2022-04-14/online-adhd-medication-startup-ahead-is-shutting-down?sref=yLCixKPR,Unknown,9,"United States",2022-04-15
Air,"New York City",NULL,2020-09-16,0.16,Marketing,https://air.inc/blog/series-a,"Series A",18,"United States",2020-09-21
Airbnb,"SF Bay Area",1900,2020-05-05,0.25,Travel,https://layoffs.fyi/2020/05/07/airbnb-laid-off-1900-employees/,"Private Equity",5400,"United States",2020-05-05
Airbnb,"SF Bay Area",30,2023-03-03,NULL,Travel,https://www.bloomberg.com/news/articles/2023-03-03/airbnb-layoffs-hit-recruiting-staff-even-as-it-selectively-hires,Post-IPO,6400,"United States",2023-03-04
Airlift,"Lahore,Non-U.S.",NULL,2022-07-12,1,Logistics,https://techcrunch.com/2022/07/12/airlift-shutdown/,"Series B",109,Pakistan,2022-07-13
Airlift,"Lahore,Non-U.S.",NULL,2022-05-25,0.31,Logistics,https://profit.pakistantoday.com.pk/2022/05/25/airlift-closes-down-operations-in-south-africa-smaller-cities-in-pakistan-amidst-global-downturn/,"Series B",109,Pakistan,2022-05-25
Airmeet,"Bengaluru,Non-U.S.",NULL,2024-03-19,0.2,Marketing,https://inc42.com/buzz/airmeet-lays-off-20-workforce-in-second-restructuring-exercise-within-a-year/,"Series B",50,India,2024-03-20
Airmeet,"Bengaluru,Non-U.S.",75,2023-05-25,0.3,Marketing,https://inc42.com/buzz/exclusive-prosus-backed-airmeet-lays-off-30-of-its-workforce/,"Series B",50,India,2023-05-26
Airtable,"SF Bay Area",237,2023-09-14,0.27,Product,https://www.forbes.com/sites/stevenbertoni/2023/09/14/unicorn-startup-airtable-lays-off-27-of-firm-shifts-focus-to-big-clients/?sh=171151534589,"Series F",1400,"United States",2023-09-14
Airtable,"SF Bay Area",254,2022-12-08,0.2,Product,https://techcrunch.com/2022/12/08/airtable-layoffs/,"Series F",1400,"United States",2022-12-08
Airtame,"Copenhagen,Non-U.S.",15,2022-06-15,NULL,Consumer,"Internal memo",Unknown,7,Denmark,2022-06-16
Airtasker,"Sydney,Non-U.S.",45,2023-04-27,0.2,Retail,https://www.businessnewsaustralia.com/articles/airtasker-makes-20pc-of-employees-redundant.html,"Series C",26,Australia,2023-04-28
Airtime,"New York City",25,2025-06-04,0.43,Consumer,https://techcrunch.com/2025/06/04/its-layoff-season-at-phil-libins-airtime/,"Series B",33,"United States",2025-06-05
Airtime,"New York City",30,2022-05-23,0.2,Consumer,"Internal memo","Series B",33,"United States",2022-08-17
"Airy Rooms","Jakarta,Non-U.S.",NULL,2020-05-07,1,Travel,https://www.thejakartapost.com/news/2020/05/08/hotel-start-up-airy-closes-permanently-due-to-pandemic.html,Unknown,NULL,Indonesia,2020-06-04
"Airy Rooms","Jakarta,Non-U.S.",NULL,2020-04-22,0.7,Travel,https://www.techinasia.com/airy-cease-operations,Unknown,NULL,Indonesia,2020-05-10
Aiven,"Helsinki,Non-U.S.",NULL,2023-01-18,0.2,Infrastructure,https://aiven.io/blog/a-message-from-our-ceo-oskari-saarenmaa,"Series D",420,Finland,2023-01-18
Ajaib,"Jakarta,Non-U.S.",67,2022-11-28,0.08,Finance,https://www.techinasia.com/indonesian-investment-platform-ajaib-lays-8-headcount,Unknown,245,Indonesia,2022-11-30
Akamai,Boston,250,2024-11-07,0.02,Security,https://www.bizjournals.com/boston/news/2024/11/07/akamai-layoffs-2024.html,Post-IPO,35,"United States",2024-11-08
Akamai,Boston,290,2023-05-09,0.03,Security,https://www.bizjournals.com/boston/news/2023/05/09/akamai-cuts-global-workforce-2023.html,Post-IPO,35,"United States",2023-05-10
"Akili Interactive",Boston,NULL,2024-04-30,0.46,Healthcare,https://investors.akiliinteractive.com/news/news-details/2024/Akili-Announces-Amended-Agreement-with-Shionogi-Shift-in-Corporate-Strategy-and-Release-Date-for-First-Quarter-2024-Financial-Results/default.aspx,Post-IPO,271,"United States",2024-05-02
"Akili Labs",Boston,NULL,2023-09-13,0.4,Healthcare,https://www.bizjournals.com/boston/news/2023/09/13/akili-interactive-layoffs-september-2023-otc.html,Post-IPO,301,"United States",2023-09-14
"Akili Labs",Boston,46,2023-01-12,0.3,Healthcare,https://bhbusiness.com/2023/01/12/digital-therapeutics-startup-akili-plans-to-lay-off-30-of-staff/,Post-IPO,301,"United States",2023-01-14
Akseleran,"Jakarta,Non-U.S.",60,2023-07-27,NULL,Finance,https://www.techinasia.com/indonesias-akseleran-lays-60-employees-delaying-ipo,"Series A",9,Indonesia,2023-07-29
Akudo,"Bengaluru,Non-U.S.",NULL,2023-09-20,1,Finance,https://entrackr.com/2023/09/exclusive-y-combinator-backed-akudo-to-shut-down-ops/,Seed,4,India,2023-12-04
Akulaku,"Jakarta,Non-U.S.",100,2020-04-15,NULL,Finance,https://www.techinasia.com/indonesia-online-lenders-tighten-credit-cut-jobs,"Series D",160,Indonesia,2020-04-20
AlayaCare,"Montreal,Non-U.S.",80,2022-08-16,0.14,Healthcare,https://betakit.com/alayacare-lays-off-14-percent-of-employees-slows-ma-plans/,"Series D",293,Canada,2022-08-17
Albert,"Los Angeles",20,2022-06-10,0.08,Finance,https://dot.la/albert-fintech-layoffs-2657493613.html50,"Series C",175,"United States",2022-06-11
"Aleph Farms","Tel Aviv,Non-U.S.",30,2024-06-05,0.3,Food,https://www.calcalistech.com/ctechnews/article/hkdwxv0na,Unknown,119,Israel,2024-06-05
Alerzo,"Ibadan,Non-U.S.",100,2023-11-21,NULL,Retail,https://techpoint.africa/2023/11/21/alerzo-has-laid-off-100-employees-due-to-warehouse-automation/,"Series B",16,Nigeria,2023-11-22
Alerzo,"Ibadan,Non-U.S.",400,2023-03-06,NULL,Retail,https://techcabal.com/2023/03/06/alerzo-lays-off-900/,"Series B",16,Nigeria,2023-03-07
"ALI Technologies","Tokyo,Non-U.S.",NULL,2024-01-16,1,Transportation,https://www.bbc.com/news/technology-67946088,Unknown,NULL,Japan,2024-01-20
"Alibaba Cloud","Hangzhou,Non-U.S.",NULL,2023-05-24,0.07,Data,https://www.cnbc.com/2023/05/23/alibaba-to-cut-7percent-of-workforce-in-its-cloud-unit-as-it-pursues-ipo-.html,Subsidiary,NULL,China,2023-05-24
Alice,"Sao Paulo,Non-U.S.",113,2022-12-09,0.16,Healthcare,https://startups.com.br/demissoes/alice-faz-nova-onda-de-demissoes-e-dispensa-113-pessoas/,"Series C",174,Brazil,2022-12-11
Alice,"Sao Paulo,Non-U.S.",63,2022-07-11,NULL,Healthcare,https://forbes.com.br/carreira/2022/07/healthtech-alice-demite-63-funcionarios/,"Series C",174,Brazil,2022-07-13
"AliExpress Russia","Moscow,Non-U.S.",400,2022-05-14,0.4,Retail,https://asia.nikkei.com/Politics/Ukraine-war/Alibaba-s-Russian-venture-slashes-40-of-staff-amid-Ukraine-war,Acquired,60,Russia,2022-05-14
Allbirds,"SF Bay Area",23,2022-07-28,NULL,Retail,"Internal memo",Post-IPO,202,"United States",2022-07-30
Alma,"New York City",NULL,2024-10-02,0.09,Healthcare,https://bhbusiness.com/2024/10/02/citing-need-to-re-focus-resources-digital-therapy-platform-alma-lays-off-9-of-staff/,"Series D",220,"United States",2024-10-03
AlphaSense,"New York City",150,2024-11-27,0.08,Other,https://news.bloomberglaw.com/daily-labor-report/market-research-firm-alphasense-cut-150-jobs-in-restructuring,"Series F",1400,"United States",2024-11-28
Alteryx,"Los Angeles",320,2023-04-27,0.11,Data,https://siliconangle.com/2023/04/27/alteryx-delivers-mixed-earnings-results-plans-cut-11-staff/,Post-IPO,613,"United States",2023-04-28
"Alto Pharmacy","SF Bay Area",47,2020-09-29,0.06,Healthcare,https://layoffs.fyi/2020/10/07/alto-pharmacy-lays-off-47-employees/,"Series D",356,"United States",2020-10-07
Altruist,"SF Bay Area",37,2025-01-07,0.1,Finance,https://riabiz.com/a/2025/1/7/altruist-lays-off-10-of-its-staff-despite-300-revenue-jump-to-get-best-possible-people-as-aggressive-hiring-continues-says-ceo,"Series E",449,"United States",2025-01-08
Alza,"New York City",NULL,2025-01-13,1,Finance,https://fortune.com/2025/01/13/alza-fintech-latino-thrive-capital-stripe-level-employer-com-shut-down-venture/,Seed,7,"United States",2025-01-15
Amazon,Seattle,100,2025-05-14,NULL,Retail,https://www.cnbc.com/2025/05/14/amazon-lays-off-about-100-employees-in-devices-and-services-unit.html,Post-IPO,8100,"United States",2025-05-16
Amazon,Seattle,10000,2022-11-16,0.03,Retail,https://www.nytimes.com/2022/11/14/technology/amazon-layoffs.html,Post-IPO,108,"United States",2022-11-16
Amazon,Seattle,150,2022-10-28,NULL,Retail,https://www.geekwire.com/2022/amazon-makes-staff-cuts-at-amp-the-app-it-launched-this-year-to-reimagine-radio/,Post-IPO,108,"United States",2023-01-11
Amazon,Seattle,180,2023-11-13,NULL,Retail,https://www.cnbc.com/2023/11/13/amazon-cuts-more-than-180-jobs-in-gaming-division.html,Post-IPO,108,"United States",2023-11-13
Amazon,Seattle,30,2024-01-18,NULL,Retail,https://www.cnbc.com/2024/01/18/-amazon-layoffs-hit-its-buy-with-prime-unit.html,Post-IPO,108,"United States",2024-01-19
Amazon,Seattle,400,2024-02-06,NULL,Retail,https://www.businessinsider.com/amazon-one-medical-pharmacy-layoffs-broader-cost-cutting-campaign-2024-2,Post-IPO,108,"United States",2024-02-07
Amazon,Seattle,80,2023-07-13,NULL,Retail,https://news.yahoo.com/amazon-lays-off-80-workers-230451163.html?guccounter=1,Post-IPO,108,"United States",2023-07-14
Amazon,Seattle,8000,2023-01-04,0.02,Retail,https://www.wsj.com/articles/amazon-to-lay-off-over-17-000-workers-more-than-first-planned-11672874304,Post-IPO,108,"United States",2023-01-05
Amazon,Seattle,9000,2023-03-20,NULL,Retail,https://www.cnbc.com/2023/03/20/amazon-layoffs-company-to-cut-off-9000-more-workers.html,Post-IPO,108,"United States",2023-03-20
"Amber Group","Hong Kong,Non-U.S.",NULL,2022-09-09,0.1,Crypto,https://www.yahoo.com/now/crypto-trading-firm-amber-cut-193232181.html,"Series B",328,"Hong Kong",2022-09-11
"Ambev Tech","Blumenau,Non-U.S.",50,2023-03-02,NULL,Food,https://omunicipioblumenau.com.br/economia-em-pauta-ambev-tech-de-blumenau-demite-50-funcionarios-e-interrompe-abertura-de-vagas/,Acquired,NULL,Brazil,2023-03-04
AMD,"SF Bay Area",1000,2024-11-13,0.04,Hardware,https://www.techopedia.com/news/amd-layoffs-amid-mixed-earnings-and-intel-merger-speculation,Post-IPO,NULL,"United States",2024-11-13
Amdocs,"St. Louis",2000,2023-07-06,0.06,Support,https://www.calcalistech.com/ctechnews/article/sjfzud4f3,Post-IPO,NULL,"United States",2023-01-06
Amdocs,"St. Louis",700,2023-01-02,0.03,Support,https://www.calcalistech.com/ctechnews/article/bj4shoeco,Post-IPO,NULL,"United States",2023-07-07
"American Robotics",Boston,50,2023-01-17,0.65,Other,https://www.bostonglobe.com/2023/01/17/business/new-year-brings-new-tech-layoffs/,Acquired,92,"United States",2023-01-20
Amicole,"New York City",NULL,2025-07-17,1,Retail,https://techcrunch.com/2025/07/17/after-raising-over-3m-popular-vc-backed-beauty-brand-ami-cole-is-shuttering/,Seed,5,"United States",2025-07-18
Amount,Chicago,NULL,2022-06-27,0.18,Finance,https://techcrunch.com/2022/06/27/fintech-amount-which-was-valued-at-1b-last-year-lays-off-18-of-staff/,Unknown,283,"United States",2022-06-27
Amount,Chicago,130,2023-02-27,0.25,Finance,https://www.chicagobusiness.com/finance-banking/fintech-amount-cuts-about-quarter-its-staff,Unknown,283,"United States",2023-03-03
Amperity,Seattle,NULL,2024-09-12,0.13,Marketing,https://www.geekwire.com/2024/amperity-lays-off-13-of-staff-in-latest-cuts-for-customer-data-startup/,"Series D",187,"United States",2024-09-13
Amperity,Seattle,13,2022-08-20,0.03,Marketing,https://www.geekwire.com/2022/seattle-customer-intelligence-startup-amperity-lays-off-recruiting-staff/,"Series D",187,"United States",2022-08-22
Amperity,Seattle,20,2024-01-25,NULL,Marketing,https://www.bizjournals.com/seattle/news/2024/01/25/amperity-layoffs-restructuring-seattle.html,"Series D",187,"United States",2024-01-27
Amplero,Seattle,17,2020-03-29,1,Marketing,https://www.geekwire.com/2020/canary-coal-mine-seattle-marketing-tech-startup-amplero-shuts-lays-off-17-employees/,"Series B",25,"United States",2020-04-01
Amplitude,"SF Bay Area",99,2023-04-05,0.13,Data,https://amplitude.com/blog/team-update,Post-IPO,311,"United States",2023-04-05
Anagram,"Los Angeles",17,2020-04-03,NULL,Healthcare,https://www.statnews.com/2020/04/07/coronavirus-related-layoffs-hit-health-tech-startups/,"Series A",14,"United States",2020-04-05
"Analog Devices","SF Bay Area",111,2023-12-13,NULL,Manufacturing,https://www.bizjournals.com/sanjose/news/2023/12/13/layoffs-come-to-analog-devices-as-111.html,Post-IPO,NULL,"United States",2023-12-22
Anaplan,"SF Bay Area",300,2023-06-21,NULL,Other,https://nypost.com/2023/06/23/software-giant-anaplan-begins-layoffs-after-thoma-bravos-10-4b-buyout-deal/,Acquired,300,"United States",2023-06-24
Anar,"Mumbai,Non-U.S.",NULL,2023-11-25,1,Marketing,https://inc42.com/buzz/as-elevation-backed-anar-shuts-shop-here-are-key-learnings-from-b2b-networking-startups-cofounder-ceo/,Seed,6,India,2023-11-27
Ancestry,Lehi,81,2024-03-14,0.06,Consumer,https://endpts.com/ancestry-cut-6-of-workforce-as-genealogy-giant-struggles-with-subscription-revenue/,Post-IPO,33,"United States",2024-04-18
"Anchorage Digital","SF Bay Area",75,2023-03-14,0.2,Crypto,https://www.theinformation.com/briefings/crypto-bank-anchorage-digital-lays-off-20-of-staff,"Series D",487,"United States",2023-03-15
Andela,"New York City",135,2020-05-05,0.1,Recruiting,https://layoffs.fyi/2020/07/08/andela-layoff-list-emerges/,"Series D",181,"United States",2020-05-06
Andgo,"Saskatoon,Non-U.S.",9,2023-09-29,NULL,HR,https://betakit.com/saskatoon-software-startups-vendasta-7shifts-andgo-systems-make-layoffs/,"Series A",5,Canada,2023-09-29
AngelList,"SF Bay Area",20,2020-03-31,NULL,Recruiting,https://techcrunch.com/2020/04/06/angellist-lays-off-a-number-of-staff-and-cuts-executive-salaries/,"Series B",26,"United States",2020-04-06
Anodot,"Tel Aviv,Non-U.S.",15,2022-07-06,0.2,Data,https://www.calcalistech.com/ctechnews/article/sjy5hbre3,"Series C",64,Israel,2023-05-08
Anodot,"Tel Aviv,Non-U.S.",35,2022-07-06,0.27,Data,https://www.calcalistech.com/ctechnews/article/sypfe11ms5,"Series C",64,Israel,2022-07-06
"ANS Commerce","Gurugram,Non-U.S.",NULL,2025-03-02,1,Retail,https://www.etnownews.com/technology/flipkart-shuts-down-ans-commerce-after-3-years-lays-off-employees-amid-e-commerce-restructuring-details-article-118657546,Acquired,2,India,2025-03-03
AnswerLab,"SF Bay Area",NULL,2023-03-30,0.17,Marketing,https://www.linkedin.com/feed/update/urn:li:activity:7047309428986953729/,Unknown,NULL,"United States",2023-03-31
"Antidote Health","Tel Aviv,Non-U.S.",23,2022-10-23,0.38,Healthcare,https://www.calcalistech.com/ctechnews/article/s1xwokmvi,Unknown,36,Israel,2022-10-24
Anyline,"Vienna,Non-U.S.",NULL,2023-03-29,0.25,Other,https://brutkasten.com/artikel/anyline-jobabbau,"Series B",37,Austria,2023-03-31
Anywell,"Tel Aviv,Non-U.S.",11,2022-08-14,NULL,"Real Estate",https://www.calcalistech.com/ctechnews/article/rkndvd8a5,"Series A",15,Israel,2022-08-14
"Apartment List","SF Bay Area",29,2022-08-31,0.1,"Real Estate",https://www.linkedin.com/posts/matthew-w-woods_for-those-that-know-apartment-list-well-activity-6970856703277903874-MGoW/,"Series D",169,"United States",2022-09-01
Apollo,"SF Bay Area",NULL,2022-12-15,0.15,Product,https://www.apollographql.com/blog/announcement/ceo-geoff-schmidts-message-to-apollo-employees/,"Series D",183,"United States",2022-12-15
"Apollo Insurance","Vancouver,Non-U.S.",NULL,2022-11-15,0.25,Finance,https://www.insurancebusinessmag.com/ca/news/breaking-news/apollo-insurance-makes-layoffs-427596.aspx,"Series B",11,Canada,2022-11-20
"App Annie","SF Bay Area",80,2020-04-28,0.18,Data,https://www.gamesindustry.biz/articles/2020-04-28-app-annie-lays-off-a-small-fraction-of-its-workforce,Unknown,156,"United States",2020-04-28
Appcues,Boston,NULL,2023-03-08,0.15,Data,https://www.bizjournals.com/boston/news/2023/03/08/appcues-lays-off-nearly-15-of-workforce.html,"Series B",52,"United States",2023-03-11
